100percentfedup.com,1
5newsonline.com,
6abc.com,
9to5mac.com,
abc13.com,0
abc27.com,0
abc7.com,0
abc7chicago.com,0
ad.hani.co.kr,
adage.com,
allenwestrepublic.com,1
altright.com,
alzheimersnewstoday.com,
americanlookout.com,1
americanupdater.com,1
amp.theguardian.com,
atlantahawks.blog.ajc.com,
baltimore.cbslocal.com,
bangordailynews.com,
bb4sp.com,1
betanews.com,
bgr.com,
birthmoviesdeath.com,
blog.constitutioncenter.org,
blog.google,
blog.x.company,
blogs.barrons.com,0
blogs.marketwatch.com,
blogs.mercurynews.com,
blogs.nasa.gov,
blogs.plos.org,
blogs.telegraph.co.uk,
blogs.wsj.com,0
bloody-disgusting.com,
boingboing.net,
boston.cbslocal.com,0
boxingjunkie.usatoday.com,
buffalonews.com,
cadenaser.com,
cbs4indy.com,
chicago.cbslocal.com,0
chronicle.augusta.com,
clashdaily.com,1
cleantechnica.com,
cn.nytstyle.com,
cnn.com,0
cnn.com.de,1
college.usatoday.com,0
collegebasketball.nbcsports.com,
collegefootballtalk.nbcsports.com,
collider.com,
comicbook.com,
consequenceofsound.net,
conservativedailypost.com,1
conservativefighters.com,1
conservative-headlines.com,
conservativetribune.com,
cruxnow.com,
cw33.com,
dailycaller.com,
dailyddt.com,
dailyheadlines.net,1
dailymail.co.uk,
dailysignal.com,
deadline.com,
denver.cbslocal.com,0
design.prntly.com,
dfw.cbslocal.com,0
downtrend.com,1
eaglerising.com,1
easterndaily.com,
edition.cnn.com,0
embols.com,1
empireherald.com,1
en.rfi.fr,
english.yonhapnews.co.kr,
espresso.repubblica.it,
ew.com,
examiningatheism.blogspot.com,
fansided.com,
federalnewsradio.com,
fivethirtyeight.com,
footwearnews.com,
fortune.com,0
fox13now.com,0
fox17online.com,0
fox2now.com,0
fox40.com,0
fox43.com,0
fox4kc.com,0
fox59.com,0
fox5sandiego.com,0
fox61.com,0
fox6now.com,0
fox8.com,0
fr.israelvideonetwork.com,
freakoutnation.com,1
freedomdaily.com,1
freedomlibertynews.com,1
freedomoutpost.com,1
ftw.usatoday.com,0
futbol.as.com,
futurism.com,
globalnews.ca,
gma.yahoo.com,
grist.org,
gulfnews.com,
health.usnews.com,0
heatst.com,
heavy.com,
hollywoodlife.com,
host.prntly.com,1
hotair.com,
icelandmonitor.mbl.is,
ihavethetruth.com,1
ijr.com,
ilovemyfreedom.org,
in.reuters.com,0
indianexpress.com,
inews.co.uk,
informedowners.com,1
insider.foxnews.com,
isportsweb.com,
jcca.org,
jimdaly.focusonthefamily.com,
jp.wsj.com,
kdvr.com,
kfor.com,
koin.com,
ktla.com,0
lasvegas.cbslocal.com,0
laxic.me,
lens.blogs.nytimes.com,
liberalsociety.com,1
libertyalliance.com,
libertywritersnews.com,1
liveactionnews.org,
losangeles.cbslocal.com,0
madworldnews.com,1
mainichi.jp,
marketwatch.com,0
mashable.com,
media.ford.com,
mediamatters.org,
medium.com,
metro.co.uk,
mexiconewsdaily.com,
miami.cbslocal.com,0
mic.com,
minnesota.cbslocal.com,0
mlb.nbcsports.com,
mmajunkie.com,
mmqb.si.com,
mobile.reuters.com,0
money.cnn.com,0
montrealgazette.com,
mspoweruser.com,
muslimstatistics.wordpress.com,
myfox8.com,
mynewsla.com,
nascar.nbcsports.com,0
nation.foxnews.com,
nba.nbcsports.com,0
nbc4i.com,0
nesn.com,0
nevo.news,1
new.www.huffingtonpost.com,
newcenturytimes.com,1
news.asiaone.com,
news.berkeley.edu,0
news.mb.com.ph,
news.nationalgeographic.com,
news.xinhuanet.com,
news.yale.edu,0
newsexaminer.net,1
newsok.com,
newsone.com,
newyork.cbslocal.com,0
nhl.nbcsports.com,0
nmpolitics.net,
nolayingup.com,
nsidc.org,
nymag.com,
nypost.com,
observer.com,
occupydemocrats.com,1
olympics.nbcsports.com,
onlineathens.com,
origin-nyi.thehill.com,
pagesix.com,
patch.com,
patft.uspto.gov,
people.com,0
pepe-news.com,
perezhilton.com,
phandroid.com,
philadelphia.cbslocal.com,0
pickandroll.com.au,
pittsburgh.cbslocal.com,0
pix11.com,
pjmedia.com,
polisen.se,
politica.elpais.com,
portal.kiplinger.com,0
postonpolitics.blog.palmbeachpost.com,
powersource.post-gazette.com,
prntly.com,1
profootballtalk.nbcsports.com,0
projects.jsonline.com,
prostitution2017.de,
q13fox.com,
quebec.huffingtonpost.ca,
radaronline.com,
radio.foxnews.com,
radioink.com,
rare.us,
rbth.com,
reason.com,
redbirdrants.com,
refugeeresettlementwatch.wordpress.com,
rollingout.com,
sacramento.cbslocal.com,
sacredstonecamp.org,
sanfrancisco.cbslocal.com,
screenertv.com,
scroll.in,
seekingalpha.com,0
slam.canoe.com,
soccer.nbcsports.com,0
spaceflightnow.com,
spacenews.com,0
splash.sussex.ac.uk,
sports.nbcsports.com,0
sports.usatoday.com,0
sportsday.dallasnews.com,0
staugustine.com,
store.focusonthefamily.com,
techcrunch.com,
theconservativetreehouse.com,
thehill.com,
theintercept.com,
thenewdaily.com.au,
